event,tag,sport,sport_code,sport_url,discipline,start_date,end_date,venue,phase,gender,status,day_of_week,duration_hours,latitude,longitude,date_start,date_end,start_day,start_month,start_hour
Women's 57kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing,Boxing,2024-07-30 13:08:00+02:00,2024-07-30 13:19:00+02:00,North Paris Arena,Women's 57kg - Prelims - Round of 32,W,FINISHED,Tuesday,0.1833333333333333,48.9342,2.3601,2024-07-27 13:30:00+00:00,2024-08-08 15:30:00+00:00,30,7,13
Men's 4 x 200m Freestyle Relay,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-30 13:20:00+02:00,2024-07-30 13:39:00+02:00,Paris La Defense Arena,Men's 4 x 200m Freestyle Relay - Heats,M,FINISHED,Tuesday,0.3166666666666666,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,30,7,13
Women's Park,skateboarding,Skateboarding,SKB,https://olympics.com/en/paris-2024/sports/skateboarding,Cycling BMX Freestyle,2024-07-30 13:25:01+02:00,2024-07-30 14:41:00+02:00,La Concorde 2,Women's Park Qualification,W,FINISHED,Tuesday,1.2663888888888888,,,,,30,7,13
Women's Park,cycling-bmx-freestyle,Cycling BMX Freestyle,BMF,https://olympics.com/en/paris-2024/sports/cycling-bmx-freestyle,Cycling BMX Freestyle,2024-07-30 13:25:01+02:00,2024-07-30 14:41:00+02:00,La Concorde 2,Women's Park Qualification,W,FINISHED,Tuesday,1.2663888888888888,,,,,30,7,13
Women's Épée Team,fencing,Fencing,FEN,https://olympics.com/en/paris-2024/sports/fencing,Fencing,2024-07-30 13:30:00+02:00,2024-07-30 14:20:00+02:00,Grand Palais,Women's Épée Team Table of 8,W,FINISHED,Tuesday,0.8333333333333334,48.8662,2.3124,2024-07-27 08:00:00+00:00,2024-08-10 21:00:00+00:00,30,7,13
Women's Canoe Single,canoe-kayak-slalom,Canoe Slalom,CSL,https://olympics.com/en/paris-2024/sports/canoe-kayak-slalom,Canoe Slalom,2024-07-30 15:00:00+02:00,2024-07-30 15:42:00+02:00,Nautical St - White water,Women's Canoe Single Hts 1st and 2nd Run,W,FINISHED,Tuesday,0.7,,,,,30,7,15
Men's Park,skateboarding,Skateboarding,SKB,https://olympics.com/en/paris-2024/sports/skateboarding,Cycling BMX Freestyle,2024-07-30 15:11:45+02:00,2024-07-30 16:27:45+02:00,La Concorde 2,Men's Park Qualification,M,FINISHED,Tuesday,1.2666666666666666,,,,,30,7,15
Men's Park,cycling-bmx-freestyle,Cycling BMX Freestyle,BMF,https://olympics.com/en/paris-2024/sports/cycling-bmx-freestyle,Cycling BMX Freestyle,2024-07-30 15:11:45+02:00,2024-07-30 16:27:45+02:00,La Concorde 2,Men's Park Qualification,M,FINISHED,Tuesday,1.2666666666666666,,,,,30,7,15
Men's Kayak Single,canoe-kayak-slalom,Canoe Slalom,CSL,https://olympics.com/en/paris-2024/sports/canoe-kayak-slalom,Canoe Slalom,2024-07-30 15:50:00+02:00,2024-07-30 16:30:00+02:00,Nautical St - White water,Men's Kayak Single Heats 1st and 2nd Run,M,FINISHED,Tuesday,0.6666666666666666,,,,,30,7,15
50m Rifle 3 Positions Men,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Shooting,2024-07-30 17:45:00+02:00,2024-07-30 19:15:00+02:00,Chateauroux Shooting Ctr,50m Rifle 3 Positions Men's Training,M,FINISHED,Tuesday,1.5,,,,,30,7,17
Women -70 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Judo,2024-07-31 10:00:00+02:00,2024-07-31 10:06:00+02:00,Champ-de-Mars Arena,Women -70 kg Elimination Round of 32,W,FINISHED,Wednesday,0.1,,,,,31,7,10
Men -90 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Judo,2024-07-31 10:00:00+02:00,2024-07-31 10:06:00+02:00,Champ-de-Mars Arena,Men -90 kg Elimination Round of 32,M,FINISHED,Wednesday,0.1,,,,,31,7,10
Women's Synchronised 10m Platform,diving,Diving,DIV,https://olympics.com/en/paris-2024/sports/diving,Diving,2024-07-31 11:00:00+02:00,2024-07-31 11:47:00+02:00,Aquatics Centre,Women's Synchronised 10m Platform,W,FINISHED,Wednesday,0.7833333333333333,48.9279,2.3619,2024-07-27 09:00:00+00:00,2024-08-10 20:00:00+00:00,31,7,11
Women's 200m Breaststroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-31 11:00:00+02:00,2024-07-31 11:21:00+02:00,Paris La Defense Arena,Women's 200m Breaststroke - Heats,W,FINISHED,Wednesday,0.35,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,31,7,11
Men's 200m Backstroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-31 11:21:00+02:00,2024-07-31 11:46:00+02:00,Paris La Defense Arena,Men's 200m Backstroke - Heats,M,FINISHED,Wednesday,0.4166666666666667,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,31,7,11
Women's 200m Butterfly,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-31 11:46:00+02:00,2024-07-31 12:06:00+02:00,Paris La Defense Arena,Women's 200m Butterfly - Heats,W,FINISHED,Wednesday,0.3333333333333333,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,31,7,11
Women's 75kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing,Boxing,2024-07-31 12:04:00+02:00,2024-07-31 12:15:00+02:00,North Paris Arena,Women's 75kg - Prelims - Round of 16,W,FINISHED,Wednesday,0.1833333333333333,48.9342,2.3601,2024-07-27 13:30:00+00:00,2024-08-08 15:30:00+00:00,31,7,12
Men's Sabre Team,fencing,Fencing,FEN,https://olympics.com/en/paris-2024/sports/fencing,Fencing,2024-07-31 13:30:00+02:00,2024-07-31 14:20:00+02:00,Grand Palais,Men's Sabre Team Table of 8,M,FINISHED,Wednesday,0.8333333333333334,48.8662,2.3124,2024-07-27 08:00:00+00:00,2024-08-10 21:00:00+00:00,31,7,13
Men's All-Around,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Artistic Gymnastics,2024-07-31 17:30:00+02:00,2024-07-31 20:00:54+02:00,Bercy Arena,Men's All-Around Final,M,FINISHED,Wednesday,2.515,48.8394,2.3791,2024-07-27 09:00:00+00:00,2024-08-11 16:00:00+00:00,31,7,17
50m Rifle 3 Positions Women,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Shooting,2024-07-31 17:45:00+02:00,2024-07-31 19:15:00+02:00,Chateauroux Shooting Ctr,50m Rifle 3 Pos. Women's Training,W,FINISHED,Wednesday,1.5,,,,,31,7,17
Men's 20km Race Walk,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-01 08:00:00+02:00,2024-08-01 09:35:00+02:00,Trocadéro,Men's 20km Race Walk Final,M,FINISHED,Thursday,1.5833333333333333,48.862,2.2876,2024-08-01 05:30:00+00:00,2024-08-07 08:50:00+00:00,1,8,8
Skeet Men,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Shooting,2024-08-01 09:00:00+02:00,2024-08-01 14:00:00+02:00,Chateauroux Shooting Ctr,Skeet Men's Training,M,FINISHED,Thursday,5.0,,,,,1,8,9
25m Pistol Women,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Shooting,2024-08-01 09:00:00+02:00,2024-08-01 14:00:00+02:00,Chateauroux Shooting Ctr,25m Pistol Women's Training,W,FINISHED,Thursday,5.0,,,,,1,8,9
Men's Individual Stroke Play,golf,Golf,GLF,https://olympics.com/en/paris-2024/sports/golf,Golf,2024-08-01 09:00:00+02:00,2024-08-01 18:00:00+02:00,Le Golf National,Men's Individual Stroke Play,M,FINISHED,Thursday,9.0,,,,,1,8,9
Women's 20km Race Walk,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-01 09:50:00+02:00,2024-08-01 11:35:00+02:00,Trocadéro,Women's 20km Race Walk Final,W,FINISHED,Thursday,1.75,48.862,2.2876,2024-08-01 05:30:00+00:00,2024-08-07 08:50:00+00:00,1,8,9
Women -78 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Judo,2024-08-01 10:00:00+02:00,2024-08-01 10:06:00+02:00,Champ-de-Mars Arena,Women -78 kg Elimination Round of 32,W,FINISHED,Thursday,0.1,,,,,1,8,10
Men -100 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Judo,2024-08-01 10:00:00+02:00,2024-08-01 10:06:00+02:00,Champ-de-Mars Arena,Men -100 kg Elimination Round of 32,M,FINISHED,Thursday,0.1,,,,,1,8,10
Women's 200m Backstroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-08-01 11:00:00+02:00,2024-08-01 11:17:00+02:00,Paris La Defense Arena,Women's 200m Backstroke - Heats,W,FINISHED,Thursday,0.2833333333333333,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,1,8,11
Jumping Team,equestrian,Equestrian,EQU,https://olympics.com/en/paris-2024/sports/equestrian,Equestrian,2024-08-01 11:00:00+02:00,2024-08-01 14:00:00+02:00,Château de Versailles,Jumping Team Qualifier,O,FINISHED,Thursday,3.0,48.8049,2.1204,2024-07-27 07:30:00+00:00,2024-08-11 11:30:00+00:00,1,8,11
Men's 50m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-08-01 11:18:00+02:00,2024-08-01 11:45:00+02:00,Paris La Defense Arena,Men's 50m Freestyle - Heats,M,FINISHED,Thursday,0.45,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,1,8,11
Men's 200m Individual Medley,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-08-01 11:47:00+02:00,2024-08-01 12:04:00+02:00,Paris La Defense Arena,Men's 200m Individual Medley - Heats,M,FINISHED,Thursday,0.2833333333333333,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,1,8,11
Women's Foil Team,fencing,Fencing,FEN,https://olympics.com/en/paris-2024/sports/fencing,Fencing,2024-08-01 11:50:00+02:00,2024-08-01 13:00:00+02:00,Grand Palais,Women's Foil Team Table of 8,W,FINISHED,Thursday,1.1666666666666667,48.8662,2.3124,2024-07-27 08:00:00+00:00,2024-08-10 21:00:00+00:00,1,8,11
Women's 4 x 200m Freestyle Relay,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-08-01 12:05:00+02:00,2024-08-01 12:26:00+02:00,Paris La Defense Arena,Women's 4 x 200m Freestyle Relay - Heats,W,FINISHED,Thursday,0.35,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,1,8,12
Men's Dinghy,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Sailing,2024-08-01 12:15:00+02:00,2024-08-01 13:06:00+02:00,Marseille Marina,Men's Dinghy Opening Series,M,FINISHED,Thursday,0.85,48.8566,2.3522,2024-07-28 09:00:00+00:00,2024-08-08 17:00:00+00:00,1,8,12
Women's Dinghy,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Sailing,2024-08-01 15:35:00+02:00,2024-08-01 16:26:00+02:00,Marseille Marina,Women's Dinghy Opening Series,W,FINISHED,Thursday,0.85,48.8566,2.3522,2024-07-28 09:00:00+00:00,2024-08-08 17:00:00+00:00,1,8,15
Women's All-Around,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Artistic Gymnastics,2024-08-01 18:15:00+02:00,2024-08-01 20:10:09+02:00,Bercy Arena,Women's All-Around Final,W,FINISHED,Thursday,1.919166666666667,48.8394,2.3791,2024-07-27 09:00:00+00:00,2024-08-11 16:00:00+00:00,1,8,18
Mixed Team,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Archery,2024-08-02 09:30:00+02:00,2024-08-02 09:49:00+02:00,Invalides,Mixed Team 1/8 Elimination Round,X,FINISHED,Friday,0.3166666666666666,48.8566,2.3122,2024-07-25 07:30:00+00:00,2024-08-04 13:20:00+00:00,2,8,9
Mixed Team,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery,Archery,2024-08-02 09:30:00+02:00,2024-08-02 09:49:00+02:00,Invalides,Mixed Team 1/8 Elimination Round,X,FINISHED,Friday,0.3166666666666666,48.8566,2.3122,2024-07-25 07:30:00+00:00,2024-08-04 13:20:00+00:00,2,8,9
Women +78 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Judo,2024-08-02 10:00:00+02:00,2024-08-02 10:06:00+02:00,Champ-de-Mars Arena,Women +78 kg Elimination Round of 32,W,FINISHED,Friday,0.1,,,,,2,8,10
Men +100 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Judo,2024-08-02 10:00:00+02:00,2024-08-02 10:06:00+02:00,Champ-de-Mars Arena,Men +100 kg Elimination Round of 32,M,FINISHED,Friday,0.1,,,,,2,8,10
Men's Decathlon,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 10:05:00+02:00,2024-08-02 10:22:00+02:00,Stade de France,Men's Decathlon 100m,M,FINISHED,Friday,0.2833333333333333,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,10
Men's Hammer Throw,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 10:10:00+02:00,2024-08-02 11:06:00+02:00,Stade de France,Men's Hammer Throw Qualification,M,FINISHED,Friday,0.9333333333333332,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,10
Women's High Jump,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 10:15:00+02:00,2024-08-02 12:25:00+02:00,Stade de France,Women's High Jump Qualification,W,FINISHED,Friday,2.1666666666666665,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,10
Women's 100m,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 10:35:00+02:00,2024-08-02 10:57:00+02:00,Stade de France,Women's 100m Preliminary Round,W,FINISHED,Friday,0.3666666666666666,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,10
Men's 100m Butterfly,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-08-02 11:00:00+02:00,2024-08-02 11:15:00+02:00,Paris La Defense Arena,Men's 100m Butterfly - Heats,M,FINISHED,Friday,0.25,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,2,8,11
Men's Synchronised 3m Springboard,diving,Diving,DIV,https://olympics.com/en/paris-2024/sports/diving,Diving,2024-08-02 11:00:00+02:00,2024-08-02 11:55:00+02:00,Aquatics Centre,Men's Synchronised 3m Springboard,M,FINISHED,Friday,0.9166666666666666,48.9279,2.3619,2024-07-27 09:00:00+00:00,2024-08-10 20:00:00+00:00,2,8,11
Men's 1500m,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 11:10:00+02:00,2024-08-02 11:36:00+02:00,Stade de France,Men's 1500m Round 1,M,FINISHED,Friday,0.4333333333333333,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,11
Women's 200m Individual Medley,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-08-02 11:17:00+02:00,2024-08-02 11:39:00+02:00,Paris La Defense Arena,Women's 200m Individual Medley - Heats,W,FINISHED,Friday,0.3666666666666666,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,2,8,11
Women's 800m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-08-02 11:40:00+02:00,2024-08-02 12:03:00+02:00,Paris La Defense Arena,Women's 800m Freestyle - Heats,W,FINISHED,Friday,0.3833333333333333,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,2,8,11
Mixed 4 x 100m Medley Relay,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-08-02 12:03:00+02:00,2024-08-02 12:15:00+02:00,Paris La Defense Arena,Mixed 4 x 100m Medley Relay - Heats,X,FINISHED,Friday,0.2,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,2,8,12
Mixed Dinghy,sailing,Sailing,SAL,https://olympics.com/en/paris-2024/sports/sailing,Sailing,2024-08-02 12:05:00+02:00,2024-08-02 12:55:00+02:00,Marseille Marina,Mixed Dinghy Opening Series,X,FINISHED,Friday,0.8333333333333334,48.8566,2.3522,2024-07-28 09:00:00+00:00,2024-08-08 17:00:00+00:00,2,8,12
Men's Épée Team,fencing,Fencing,FEN,https://olympics.com/en/paris-2024/sports/fencing,Fencing,2024-08-02 13:30:00+02:00,2024-08-02 14:20:00+02:00,Grand Palais,Men's Épée Team Table of 8,M,FINISHED,Friday,0.8333333333333334,48.8662,2.3124,2024-07-27 08:00:00+00:00,2024-08-10 21:00:00+00:00,2,8,13
Skeet Women,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Shooting,2024-08-02 14:15:00+02:00,2024-08-02 17:30:00+02:00,Chateauroux Shooting Ctr,Skeet Women's Training,W,FINISHED,Friday,3.25,,,,,2,8,14
Men's Kayak Cross,canoe-kayak-slalom,Canoe Slalom,CSL,https://olympics.com/en/paris-2024/sports/canoe-kayak-slalom,Canoe Slalom,2024-08-02 15:30:00+02:00,2024-08-02 16:27:00+02:00,Nautical St - White water,Men's Kayak Cross Time Trial,M,FINISHED,Friday,0.95,,,,,2,8,15
Women's Kayak Cross,canoe-kayak-slalom,Canoe Slalom,CSL,https://olympics.com/en/paris-2024/sports/canoe-kayak-slalom,Canoe Slalom,2024-08-02 16:40:00+02:00,2024-08-02 17:37:00+02:00,Nautical St - White water,Women's Kayak Cross Time Trial,W,FINISHED,Friday,0.95,,,,,2,8,16
Women's 5000m,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 18:10:00+02:00,2024-08-02 18:54:00+02:00,Stade de France,Women's 5000m Round 1,W,FINISHED,Friday,0.7333333333333333,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,18
Women's Triple Jump,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 18:15:00+02:00,2024-08-02 19:19:00+02:00,Stade de France,Women's Triple Jump Qualification,W,FINISHED,Friday,1.0666666666666669,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,18
Women's Discus Throw,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 18:55:00+02:00,2024-08-02 19:47:00+02:00,Stade de France,Women's Discus Throw Qualification,W,FINISHED,Friday,0.8666666666666667,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,18
4 x 400m Relay Mixed,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 19:10:00+02:00,2024-08-02 19:26:00+02:00,Stade de France,4 x 400m Relay Mixed Round 1,X,FINISHED,Friday,0.2666666666666666,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,19
Women's 800m,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 19:45:00+02:00,2024-08-02 20:27:00+02:00,Stade de France,Women's 800m Round 1,W,FINISHED,Friday,0.7,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,19
Men's Shot Put,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 20:10:00+02:00,2024-08-02 20:58:00+02:00,Stade de France,Men's Shot Put Qualification,M,FINISHED,Friday,0.8,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,20
"Men's 10,000m",athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-02 21:20:00+02:00,2024-08-02 21:50:00+02:00,Stade de France,"Men's 10,000m Final",M,FINISHED,Friday,0.5,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,2,8,21
Men's Pole Vault,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-03 10:10:00+02:00,2024-08-03 12:30:00+02:00,Stade de France,Men's Pole Vault Qualification,M,FINISHED,Saturday,2.333333333333333,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,3,8,10
Men's 100m,athletics,Athletics,ATH,https://olympics.com/en/paris-2024/sports/athletics,Athletics,2024-08-03 10:35:00+02:00,2024-08-03 11:00:00+02:00,Stade de France,Men's 100m Preliminary Round,M,FINISHED,Saturday,0.4166666666666667,48.9244,2.3601,2024-07-24 13:30:00+00:00,2024-08-10 20:30:00+00:00,3,8,10
